Pillar,Parent Category,Page / Subcategory,Recommended URL Slug,Priority,Main SEO Target
Products,Keepsake Boxes,Pet Memorial Boxes,/products/keepsake-boxes/pet-memorial-boxes/,P2,pet memorial boxes
Products,Keepsake Boxes,Religious Keepsake Boxes,/products/keepsake-boxes/religious-keepsake-boxes/,P2,religious keepsake boxes
Products,,Greeting Cards,/products/greeting-cards/,P2,custom greeting cards
Products,Greeting Cards,Luxury Greeting Cards,/products/greeting-cards/luxury-greeting-cards/,P2,luxury greeting cards
Products,Greeting Cards,Pop-Up Cards,/products/greeting-cards/pop-up-cards/,P2,pop-up cards
Products,Greeting Cards,Music Greeting Cards,/products/greeting-cards/music-greeting-cards/,P2,music greeting cards
Products,Greeting Cards,Video Greeting Cards,/products/greeting-cards/video-greeting-cards/,P2,video greeting cards
Products,Greeting Cards,Invitation Cards,/products/greeting-cards/invitation-cards/,P2,invitation cards
Products,,Religious Gift Packaging,/products/religious-gift-packaging/,P2,custom religious gift packaging
Products,Religious Gift Packaging,Ramadan Gift Boxes,/products/religious-gift-packaging/ramadan-gift-boxes/,P2,ramadan gift boxes
Products,Religious Gift Packaging,Eid Gift Boxes,/products/religious-gift-packaging/eid-gift-boxes/,P2,eid gift boxes
Products,Religious Gift Packaging,Hajj & Umrah Keepsake Boxes,/products/religious-gift-packaging/hajj-and-umrah-keepsake-boxes/,P2,hajj & umrah keepsake boxes
Products,Religious Gift Packaging,Tayammum Pad Packaging,/products/religious-gift-packaging/tayammum-pad-packaging/,P2,tayammum pad packaging
Products,Religious Gift Packaging,Islamic Gift Packaging,/products/religious-gift-packaging/islamic-gift-packaging/,P2,islamic gift packaging
Applications,,Perfume & Fragrance Packaging,/applications/perfume-and-fragrance-packaging/,P1,perfume & fragrance packaging
Applications,,Beauty & Skincare Packaging,/applications/beauty-and-skincare-packaging/,P1,beauty & skincare packaging
Applications,,Chocolate & Food Packaging,/applications/chocolate-and-food-packaging/,P2,chocolate & food packaging
Applications,,Jewelry & Accessories Packaging,/applications/jewelry-and-accessories-packaging/,P2,jewelry & accessories packaging
Applications,,Corporate & Retail Packaging,/applications/corporate-and-retail-packaging/,P2,corporate & retail packaging
Applications,,Religious & Cultural Gift Packaging,/applications/religious-and-cultural-gift-packaging/,P2,religious & cultural gift packaging
Applications,,Personal Care Packaging,/applications/personal-care-packaging/,P2,personal care packaging
Holiday & Occasions,,Christmas Packaging,/holiday-occasions/christmas-packaging/,P1,christmas packaging
Holiday & Occasions,,Ramadan & Eid Packaging,/holiday-occasions/ramadan-and-eid-packaging/,P2,ramadan & eid packaging
Holiday & Occasions,,Valentine’s Day Packaging,/holiday-occasions/valentines-day-packaging/,P2,valentine’s day packaging
Holiday & Occasions,,Wedding & Anniversary Packaging,/holiday-occasions/wedding-and-anniversary-packaging/,P2,wedding & anniversary packaging
Holiday & Occasions,,Baby & Family Keepsake Packaging,/holiday-occasions/baby-and-family-keepsake-packaging/,P2,baby & family keepsake packaging
Holiday & Occasions,,Graduation Packaging,/holiday-occasions/graduation-packaging/,P2,graduation packaging
Holiday & Occasions,,Mother’s Day / Father’s Day Packaging,/holiday-occasions/mothers-day---fathers-day-packaging/,P2,mother’s day / father’s day packaging
Holiday & Occasions,,Other Occasions,/holiday-occasions/other-occasions/,P2,other occasions
About,,Company Profile,/about/company-profile/,P2,company profile
About,,Factory & Production,/about/factory-and-production/,P2,factory & production
About,,Custom Process,/about/custom-process/,P2,custom process
About,,Craftsmanship & Finishing,/about/craftsmanship-and-finishing/,P2,craftsmanship & finishing
About,,Quality Control,/about/quality-control/,P2,quality control
About,,FAQ,/about/faq/,P2,faq
